State,Month,Year,Dayweek,Fatalities,Speed
Qld,Mar,2021,Saturday,1,100
WA,Mar,2021,Tuesday,1,110
WA,Mar,2021,Tuesday,1,-9
SA,Mar,2021,Tuesday,1,80
Vic,Mar,2021,Monday,1,70
NSW,Mar,2021,Monday,1,100
NSW,Mar,2021,Monday,1,100
Qld,Mar,2021,Monday,1,100
NSW,Mar,2021,Wednesday,1,60
Vic,Mar,2021,Thursday,1,100
Vic,Mar,2021,Thursday,1,100
SA,Mar,2021,Tuesday,1,110
NSW,Mar,2021,Wednesday,1,110
WA,Mar,2021,Monday,1,-9
Vic,Mar,2021,Wednesday,1,80
NSW,Mar,2021,Friday,1,70
Qld,Mar,2021,Tuesday,1,100
NSW,Feb,2021,Sunday,1,100
Vic,Feb,2021,Saturday,1,60
Qld,Feb,2021,Sunday,1,60
Tas,Feb,2021,Sunday,1,100
Qld,Feb,2021,Sunday,1,60
Qld,Feb,2021,Saturday,1,70
NSW,Feb,2021,Sunday,1,60
NSW,Feb,2021,Sunday,1,60
NSW,Feb,2021,Sunday,1,100
WA,Feb,2021,Sunday,1,110
Vic,Feb,2021,Sunday,1,80
NSW,Feb,2021,Saturday,1,60
NSW,Feb,2021,Sunday,1,100
NSW,Feb,2021,Sunday,1,100
NSW,Feb,2021,Saturday,1,60
Vic,Feb,2021,Saturday,1,70
NSW,Feb,2021,Sunday,1,80
WA,Feb,2021,Wednesday,1,110
SA,Feb,2021,Wednesday,1,60
NSW,Feb,2021,Monday,1,100
SA,Feb,2021,Monday,1,80
SA,Feb,2021,Tuesday,1,50
NSW,Feb,2021,Monday,1,100
Qld,Feb,2021,Wednesday,2,60
Qld,Feb,2021,Friday,1,60
Qld,Feb,2021,Tuesday,2,110
Qld,Feb,2021,Friday,1,70
Qld,Feb,2021,Friday,1,60
NSW,Feb,2021,Monday,1,100
Vic,Feb,2021,Thursday,3,90
NSW,Feb,2021,Friday,1,50
Vic,Feb,2021,Tuesday,1,80
Qld,Feb,2021,Thursday,1,80
Qld,Feb,2021,Thursday,1,60
Qld,Feb,2021,Friday,1,50
SA,Feb,2021,Wednesday,1,60
Qld,Feb,2021,Monday,1,100
Qld,Feb,2021,Monday,1,80
Vic,Feb,2021,Monday,1,90
NSW,Feb,2021,Friday,1,80
Vic,Feb,2021,Wednesday,1,80
NSW,Feb,2021,Tuesday,2,100
Qld,Feb,2021,Monday,1,70
Vic,Feb,2021,Friday,1,60
Qld,Feb,2021,Monday,1,100
NSW,Feb,2021,Sunday,1,50
NSW,Feb,2021,Saturday,1,60
WA,Feb,2021,Thursday,1,100
Vic,Feb,2021,Tuesday,1,80
NSW,Feb,2021,Tuesday,1,50
NSW,Feb,2021,Tuesday,1,50
Vic,Feb,2021,Tuesday,1,-9
WA,Feb,2021,Friday,1,50
Qld,Feb,2021,Sunday,1,60
Qld,Feb,2021,Sunday,1,60
SA,Feb,2021,Friday,1,80
Vic,Feb,2021,Sunday,1,100
SA,Feb,2021,Saturday,1,100
Vic,Feb,2021,Sunday,1,50
NSW,Feb,2021,Saturday,1,100
Vic,Feb,2021,Saturday,1,100
Qld,Feb,2021,Friday,1,60
WA,Feb,2021,Saturday,1,110
WA,Feb,2021,Saturday,1,80
Qld,Feb,2021,Saturday,1,60
Vic,Feb,2021,Saturday,1,100
WA,Feb,2021,Friday,1,100
Vic,Feb,2021,Saturday,1,100
Qld,Feb,2021,Sunday,1,110
Qld,Feb,2021,Saturday,1,80
NSW,Feb,2021,Saturday,1,100
SA,Feb,2021,Sunday,1,110
SA,Feb,2021,Thursday,1,100
WA,Feb,2021,Tuesday,1,90
Vic,Feb,2021,Tuesday,1,90
NSW,Feb,2021,Wednesday,1,70
NSW,Feb,2021,Tuesday,1,100
NSW,Feb,2021,Tuesday,1,100
Vic,Feb,2021,Thursday,1,100
SA,Feb,2021,Wednesday,1,80
Qld,Feb,2021,Wednesday,1,100
Vic,Feb,2021,Tuesday,1,60
Vic,Feb,2021,Thursday,1,60
ACT,Feb,2021,Monday,1,50
Qld,Feb,2021,Monday,1,110
Qld,Feb,2021,Wednesday,1,100
Vic,Feb,2021,Thursday,1,80
Qld,Feb,2021,Wednesday,1,50
NSW,Feb,2021,Friday,1,80
NSW,Feb,2021,Thursday,1,80
NSW,Feb,2021,Wednesday,1,100
Qld,Feb,2021,Friday,1,100
ACT,Feb,2021,Thursday,1,60
Qld,Jan,2021,Sunday,1,70
NSW,Jan,2021,Sunday,1,60
Vic,Jan,2021,Saturday,1,80
Qld,Jan,2021,Sunday,1,100
Qld,Jan,2021,Saturday,1,80
ACT,Jan,2021,Sunday,1,100
NSW,Jan,2021,Saturday,1,100
NSW,Jan,2021,Sunday,1,100
WA,Jan,2021,Monday,1,110
NSW,Jan,2021,Sunday,1,50
WA,Jan,2021,Wednesday,1,80
NSW,Jan,2021,Sunday,1,100
Vic,Jan,2021,Saturday,1,100
NT,Jan,2021,Friday,1,40
WA,Jan,2021,Monday,1,-9
WA,Jan,2021,Friday,1,110
WA,Jan,2021,Friday,1,110
WA,Jan,2021,Tuesday,1,70
WA,Jan,2021,Wednesday,1,110
NSW,Jan,2021,Tuesday,1,80
SA,Jan,2021,Friday,1,50
Vic,Jan,2021,Monday,1,80
NSW,Jan,2021,Friday,1,110
Qld,Jan,2021,Thursday,1,100
Qld,Jan,2021,Wednesday,1,100
Qld,Jan,2021,Friday,1,100
WA,Jan,2021,Thursday,1,50
NSW,Jan,2021,Monday,1,80
SA,Jan,2021,Thursday,1,70
Qld,Jan,2021,Tuesday,3,70
SA,Jan,2021,Wednesday,1,110
Qld,Jan,2021,Monday,1,50
NSW,Jan,2021,Tuesday,2,50
Qld,Jan,2021,Wednesday,1,100
Vic,Jan,2021,Friday,1,100
NSW,Jan,2021,Friday,1,100
Tas,Jan,2021,Monday,1,100
Qld,Jan,2021,Monday,1,100
SA,Jan,2021,Wednesday,1,10
NSW,Jan,2021,Thursday,1,70
Qld,Jan,2021,Friday,1,60
Qld,Jan,2021,Friday,1,70
NSW,Jan,2021,Thursday,1,50
WA,Jan,2021,Sunday,1,60
WA,Jan,2021,Saturday,1,60
NSW,Jan,2021,Monday,1,80
WA,Jan,2021,Saturday,1,80
WA,Jan,2021,Saturday,1,50
WA,Jan,2021,Saturday,1,110
Vic,Jan,2021,Sunday,1,100
NSW,Jan,2021,Sunday,3,100
Vic,Jan,2021,Saturday,1,100
SA,Jan,2021,Friday,1,100
SA,Jan,2021,Sunday,1,50
Qld,Jan,2021,Thursday,1,50
Vic,Jan,2021,Sunday,1,100
NT,Jan,2021,Friday,1,100
Vic,Jan,2021,Sunday,1,80
Qld,Jan,2021,Saturday,1,70
WA,Jan,2021,Sunday,1,80
WA,Jan,2021,Sunday,1,50
NSW,Jan,2021,Friday,1,60
Vic,Jan,2021,Sunday,1,80
Qld,Jan,2021,Monday,1,100
NSW,Jan,2021,Sunday,1,100
SA,Jan,2021,Sunday,1,50
Vic,Jan,2021,Wednesday,1,80
WA,Jan,2021,Tuesday,1,110
WA,Jan,2021,Tuesday,1,50
NSW,Jan,2021,Thursday,1,50
SA,Jan,2021,Monday,1,100
Qld,Jan,2021,Sunday,2,100
WA,Jan,2021,Friday,1,110
NSW,Jan,2021,Saturday,1,50
NSW,Jan,2021,Saturday,1,100
Tas,Jan,2021,Wednesday,1,50
Vic,Jan,2021,Monday,1,60
WA,Jan,2021,Thursday,1,60
WA,Jan,2021,Sunday,1,110
NT,Jan,2021,Monday,1,60
NSW,Jan,2021,Thursday,1,100
WA,Jan,2021,Wednesday,1,70
Vic,Jan,2021,Friday,1,100
NSW,Jan,2021,Wednesday,1,60
WA,Jan,2021,Thursday,1,110
Vic,Jan,2021,Tuesday,1,70
Qld,Jan,2021,Wednesday,1,60
Vic,Jan,2021,Thursday,1,60
NSW,Jan,2021,Friday,1,50
WA,Jan,2021,Thursday,2,90
WA,Jan,2021,Sunday,1,110
NSW,Dec,2020,Sunday,1,110
SA,Dec,2020,Sunday,1,110
SA,Dec,2020,Saturday,1,100
Vic,Dec,2020,Sunday,1,50
NSW,Dec,2020,Sunday,1,100
